id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
278,F,1.65,1.3125,0.5,43.70075425,21.36134825,9.17106325,12.757275,10.0
279,I,1.0625,0.8125,0.275,9.355335,3.96893,2.33883375,2.9766975,12.0
280,M,1.3,1.0,0.3125,17.463292,7.9095105,3.9972795,5.03203625,9.0
281,F,1.35,1.05,0.4,24.28134675,8.32057825,4.57844425,7.7961125,12.0
282,I,1.2625,0.975,0.2875,16.839603,8.63242275,3.86970675,4.7910655,8.0
283,M,1.3625,1.0875,0.4375,31.18445,11.113004,4.6776675,11.056305,13.0
284,M,1.2375,0.95,0.3375,15.252031,6.59125875,3.72795925,4.3941725,9.0
285,I,1.375,1.0375,0.3375,18.6256215,8.50485,4.53592,4.9611625,9.0
286,F,1.1,0.9375,0.3,17.78931125,7.10154975,3.3735905,3.6570855,7.0
287,M,1.1875,0.9125,0.3375,16.42853525,6.30776375,3.75630875,5.2446575,8.0
288,I,1.4375,1.15,0.375,27.71163625,11.113004,6.010094,7.37087,11.0
289,M,0.75,0.575,0.1625,3.67126025,1.360776,0.850485,1.13398,7.0
290,M,1.55,1.2125,0.425,38.82464025,14.35902175,7.72523875,14.74174,15.0
291,M,1.425,1.1375,0.425,28.42037375,8.561549,5.74077375,9.922325,21.0
292,I,1.325,1.0125,0.35,19.74542675,8.54737425,3.95475525,5.10291,15.0
293,M,1.425,1.125,0.3,23.88445375,10.4609655,5.42892925,6.23689,8.0
294,F,1.5875,1.2,0.4125,35.25260325,18.9091165,7.427569,9.355335,11.0
295,M,1.5625,1.225,0.375,33.40988575,16.4143605,5.9250455,8.9300925,11.0
296,M,1.4875,1.1625,0.3625,28.02348075,12.0485375,5.3580555,8.3631025,12.0
297,F,1.5875,1.25,0.475,41.7588135,17.61921425,8.2497045,12.03436275,13.0
298,I,1.0,0.75,0.25,8.71747125,3.78465825,1.814368,2.4097075,8.0
299,M,1.75,1.4375,0.4625,54.941331,19.94387325,8.9300925,16.159215,11.0
300,F,1.4,1.1,0.3625,27.612413,11.056305,5.71242425,7.087375,14.0
301,F,1.3875,1.0625,0.3375,23.700182,9.865626,4.762716,6.76135575,10.0
302,I,1.15,0.9,0.3,14.5432935,5.6415505,2.96252275,4.6776675,8.0
303,M,1.5,1.2,0.3875,32.98464325,12.94154675,6.406987,9.2135875,14.0
304,F,1.4375,1.125,0.3875,27.725811,12.82814875,5.556502,7.824462,8.0
305,M,1.5,1.1875,0.4875,33.40988575,13.9763035,6.4920355,10.20582,20.0
306,I,0.9875,0.75,0.25,9.015141,4.932813,2.05533875,2.65067825,6.0
307,I,0.8125,0.6,0.2,4.762716,1.97029025,1.2757275,1.417475,7.0
308,I,0.6,0.45,0.1375,1.57339725,0.66621325,0.3685435,0.510291,4.0
309,F,1.45,1.1,0.35,26.7902775,12.246984,5.8683465,7.2291225,8.0
310,M,1.3625,1.075,0.3625,22.509503,9.6104805,5.82582225,6.9456275,10.0
311,F,1.3,1.025,0.35,20.0997955,7.95203475,4.989512,6.23689,8.0
312,M,1.4625,1.15,0.4125,27.555714,10.64523725,5.40057975,8.788345,15.0
313,M,0.875,0.6625,0.2125,6.16601625,2.7499015,1.077281,1.530873,13.0
